nome_categoria,nome_produto,total_vendido,receita_gerada
"Categoria Ferramentas - 25","Produto Material Básico - 10",72,35678.88
"Categoria Materiais Básicos - 6","Produto Material Básico - 10",72,35678.88
"Categoria Ferramentas - 24","Produto Material Básico - 9",49,24062.92
"Categoria Ferramentas - 20","Produto Material Básico - 9",49,24062.92
"Categoria Elétrica e Hidráulica - 53","Produto Ferramenta - 21",52,23912.20
"Categoria Elétrica e Hidráulica - 46","Produto Ferramenta - 21",52,23912.20
"Categoria Elétrica e Hidráulica - 57","Produto Item Acabamento - 40",49,20825.49
"Categoria Elétrica e Hidráulica - 50","Produto Item Acabamento - 40",49,20825.49
"Categoria Elétrica e Hidráulica - 57","Produto Componente Elétrico/Hidráulico - 52",69,20480.58
"Categoria Elétrica e Hidráulica - 50","Produto Componente Elétrico/Hidráulico - 52",69,20480.58
"Categoria Acabamento - 35","Produto Item Acabamento - 35",49,20433.98
"Categoria Materiais Básicos - 11","Produto Item Acabamento - 35",49,20433.98
"Categoria Elétrica e Hidráulica - 46","Produto Item Acabamento - 32",52,18146.96
"Categoria Ferramentas - 24","Produto Item Acabamento - 32",52,18146.96
"Categoria Ferramentas - 26","Produto Item Acabamento - 36",44,17805.48
"Categoria Materiais Básicos - 12","Produto Item Acabamento - 36",44,17805.48
"Categoria Ferramentas - 16","Produto Ferramenta - 27",57,17485.32
"Categoria Materiais Básicos - 1","Produto Ferramenta - 27",57,17485.32
"Categoria Ferramentas - 16","Produto Ferramenta - 28",60,17090.40
"Categoria Materiais Básicos - 15","Produto Ferramenta - 28",60,17090.40
"Categoria Ferramentas - 19","Produto Componente Elétrico/Hidráulico - 53",37,16975.97
"Categoria Materiais Básicos - 4","Produto Componente Elétrico/Hidráulico - 53",37,16975.97
"Categoria Acabamento - 42","Produto Componente Elétrico/Hidráulico - 56",59,16886.39
"Categoria Acabamento - 36","Produto Componente Elétrico/Hidráulico - 56",59,16886.39
"Categoria Ferramentas - 20","Produto Item Acabamento - 44",32,15842.24
"Categoria Materiais Básicos - 4","Produto Item Acabamento - 44",32,15842.24
"Categoria Acabamento - 44","Produto Item Acabamento - 34",31,15254.48
"Categoria Acabamento - 34","Produto Item Acabamento - 34",31,15254.48
"Categoria Elétrica e Hidráulica - 51","Produto Material Básico - 4",59,14565.33
"Categoria Ferramentas - 25","Produto Material Básico - 4",59,14565.33
"Categoria Acabamento - 38","Produto Material Básico - 6",82,14522.20
"Categoria Materiais Básicos - 13","Produto Material Básico - 6",82,14522.20
"Categoria Elétrica e Hidráulica - 48","Produto Material Básico - 14",48,14321.76
"Categoria Ferramentas - 16","Produto Material Básico - 14",48,14321.76
"Categoria Elétrica e Hidráulica - 60","Produto Material Básico - 11",35,14195.30
"Categoria Ferramentas - 16","Produto Material Básico - 11",35,14195.30
"Categoria Acabamento - 33","Produto Item Acabamento - 37",41,14167.14
"Categoria Ferramentas - 26","Produto Item Acabamento - 37",41,14167.14
"Categoria Acabamento - 35","Produto Componente Elétrico/Hidráulico - 54",31,14138.79
"Categoria Ferramentas - 21","Produto Componente Elétrico/Hidráulico - 54",31,14138.79
"Categoria Elétrica e Hidráulica - 50","Produto Componente Elétrico/Hidráulico - 55",31,13837.47
"Categoria Ferramentas - 25","Produto Componente Elétrico/Hidráulico - 55",31,13837.47
"Categoria Elétrica e Hidráulica - 53","Produto Item Acabamento - 31",24,12006.72
"Categoria Ferramentas - 25","Produto Item Acabamento - 31",24,12006.72
"Categoria Acabamento - 44","Produto Componente Elétrico/Hidráulico - 57",36,11902.68
"Categoria Acabamento - 33","Produto Componente Elétrico/Hidráulico - 57",36,11902.68
"Categoria Elétrica e Hidráulica - 56","Produto Componente Elétrico/Hidráulico - 48",23,11421.57
"Categoria Ferramentas - 21","Produto Componente Elétrico/Hidráulico - 48",23,11421.57
"Categoria Ferramentas - 28","Produto Item Acabamento - 41",38,11177.32
"Categoria Ferramentas - 16","Produto Item Acabamento - 41",38,11177.32
"Categoria Elétrica e Hidráulica - 55","Produto Material Básico - 1",37,9758.38
"Categoria Ferramentas - 16","Produto Material Básico - 1",37,9758.38
"Categoria Ferramentas - 30","Produto Item Acabamento - 38",27,8998.29
"Categoria Materiais Básicos - 11","Produto Item Acabamento - 38",27,8998.29
"Categoria Acabamento - 35","Produto Material Básico - 2",31,8951.87
"Categoria Materiais Básicos - 5","Produto Material Básico - 2",31,8951.87
"Categoria Acabamento - 34","Produto Item Acabamento - 45",32,8737.28
"Categoria Ferramentas - 22","Produto Item Acabamento - 45",32,8737.28
"Categoria Elétrica e Hidráulica - 59","Produto Material Básico - 5",20,7883.20
"Categoria Ferramentas - 19","Produto Material Básico - 5",20,7883.20
"Categoria Materiais Básicos - 13","Produto Material Básico - 13",31,7005.07
"Categoria Materiais Básicos - 11","Produto Material Básico - 13",31,7005.07
"Categoria Ferramentas - 23","Produto Ferramenta - 19",39,6661.20
"Categoria Materiais Básicos - 14","Produto Ferramenta - 19",39,6661.20
"Categoria Elétrica e Hidráulica - 60","Produto Componente Elétrico/Hidráulico - 58",55,6388.25
"Categoria Acabamento - 32","Produto Componente Elétrico/Hidráulico - 58",55,6388.25
"Categoria Ferramentas - 16","Produto Ferramenta - 23",21,5967.99
"Categoria Materiais Básicos - 12","Produto Ferramenta - 23",21,5967.99
"Categoria Elétrica e Hidráulica - 58","Produto Material Básico - 12",37,5776.07
"Categoria Materiais Básicos - 12","Produto Material Básico - 12",37,5776.07
"Categoria Acabamento - 34","Produto Componente Elétrico/Hidráulico - 50",25,5476.00
"Categoria Materiais Básicos - 14","Produto Componente Elétrico/Hidráulico - 50",25,5476.00
"Categoria Acabamento - 39","Produto Ferramenta - 20",15,5200.35
"Categoria Materiais Básicos - 9","Produto Ferramenta - 20",15,5200.35
"Categoria Elétrica e Hidráulica - 46","Produto Componente Elétrico/Hidráulico - 46",36,5112.00
"Categoria Materiais Básicos - 8","Produto Componente Elétrico/Hidráulico - 46",36,5112.00
"Categoria Acabamento - 31","Produto Ferramenta - 25",41,4833.49
"Categoria Materiais Básicos - 15","Produto Ferramenta - 25",41,4833.49
"Categoria Acabamento - 35","Produto Material Básico - 8",34,4703.56
"Categoria Materiais Básicos - 14","Produto Material Básico - 8",34,4703.56
"Categoria Acabamento - 38","Produto Componente Elétrico/Hidráulico - 51",25,4418.75
"Categoria Materiais Básicos - 4","Produto Componente Elétrico/Hidráulico - 51",25,4418.75
"Categoria Ferramentas - 20","Produto Componente Elétrico/Hidráulico - 47",27,4070.79
"Categoria Ferramentas - 16","Produto Componente Elétrico/Hidráulico - 47",27,4070.79
"Categoria Acabamento - 40","Produto Ferramenta - 30",8,4059.04
"Categoria Ferramentas - 29","Produto Ferramenta - 30",8,4059.04
"Categoria Acabamento - 31","Produto Item Acabamento - 42",23,3991.88
"Categoria Materiais Básicos - 12","Produto Item Acabamento - 42",23,3991.88
"Categoria Elétrica e Hidráulica - 59","Produto Ferramenta - 17",40,3958.40
"Categoria Ferramentas - 28","Produto Ferramenta - 17",40,3958.40
"Categoria Materiais Básicos - 13","Produto Material Básico - 7",17,3867.33
"Categoria Materiais Básicos - 11","Produto Material Básico - 7",17,3867.33
"Categoria Acabamento - 36","Produto Componente Elétrico/Hidráulico - 49",7,3418.38
"Categoria Materiais Básicos - 13","Produto Componente Elétrico/Hidráulico - 49",7,3418.38
"Categoria Elétrica e Hidráulica - 56","Produto Componente Elétrico/Hidráulico - 60",71,3336.29
"Categoria Acabamento - 34","Produto Componente Elétrico/Hidráulico - 60",71,3336.29
"Categoria Ferramentas - 24","Produto Item Acabamento - 39",24,3176.16
"Categoria Ferramentas - 23","Produto Item Acabamento - 39",24,3176.16
"Categoria Acabamento - 35","Produto Ferramenta - 29",39,2382.90
"Categoria Ferramentas - 28","Produto Ferramenta - 29",39,2382.90
"Categoria Elétrica e Hidráulica - 52","Produto Ferramenta - 26",44,2218.04
"Categoria Elétrica e Hidráulica - 47","Produto Ferramenta - 26",44,2218.04
"Categoria Acabamento - 43","Produto Item Acabamento - 33",38,1445.90
"Categoria Acabamento - 36","Produto Item Acabamento - 33",38,1445.90
"Categoria Elétrica e Hidráulica - 56","Produto Ferramenta - 18",35,1200.15
"Categoria Ferramentas - 29","Produto Ferramenta - 18",35,1200.15
"Categoria Acabamento - 40","Produto Material Básico - 3",48,1101.12
"Categoria Materiais Básicos - 5","Produto Material Básico - 3",48,1101.12
"Categoria Ferramentas - 25","Produto Componente Elétrico/Hidráulico - 59",6,847.08
"Categoria Materiais Básicos - 2","Produto Componente Elétrico/Hidráulico - 59",6,847.08
"Categoria Elétrica e Hidráulica - 47","Produto Ferramenta - 16",8,672.00
"Categoria Materiais Básicos - 9","Produto Ferramenta - 16",8,672.00
"Categoria Elétrica e Hidráulica - 55","Produto Ferramenta - 22",24,647.76
"Categoria Materiais Básicos - 7","Produto Ferramenta - 22",24,647.76
"Categoria Acabamento - 31","Produto Item Acabamento - 43",10,603.70
"Categoria Ferramentas - 26","Produto Item Acabamento - 43",10,603.70
"Categoria Elétrica e Hidráulica - 54","Produto Ferramenta - 24",9,599.49
"Categoria Acabamento - 45","Produto Ferramenta - 24",9,599.49
"Categoria Ferramentas - 19","Produto Material Básico - 15",7,316.61
"Categoria Materiais Básicos - 8","Produto Material Básico - 15",7,316.61
